date,value
2010-01-01,19.8060
2010-02-01,20.2243
2010-03-01,20.3190
2010-04-01,20.2753
2010-05-01,20.3068
2010-06-01,20.4193
2010-07-01,20.4454
2010-08-01,20.2755
2010-09-01,20.0107
2010-10-01,19.8843
2010-11-01,20.0602
2010-12-01,20.5088
2011-01-01,21.0467
2011-02-01,21.4698
2011-03-01,21.6723
2011-04-01,21.6904
2011-05-01,21.6523
2011-06-01,21.6601
2011-07-01,21.6910
2011-08-01,21.6288
2011-09-01,21.4257
2011-10-01,21.2298
2011-11-01,21.3009
2011-12-01,21.7543
2012-01-01,22.4000
2012-02-01,22.8848
2012-03-01,23.0178
2012-04-01,22.9311
2012-05-01,22.8978
2012-06-01,23.0133
2012-07-01,23.1060
2012-08-01,22.9743
2012-09-01,22.6664
2012-10-01,22.4753
2012-11-01,22.6542
2012-12-01,23.1693
2013-01-01,23.7454
2013-02-01,24.1255
2013-03-01,24.2633
2013-04-01,24.2843
2013-05-01,24.3128
2013-06-01,24.3588
2013-07-01,24.3467
2013-08-01,24.2198
2013-09-01,24.0197
2013-10-01,23.8904
2013-11-01,23.9996
2013-12-01,24.4101
2014-01-01,24.9910
2014-02-01,25.4788
2014-03-01,25.6783
2014-04-01,25.6298
2014-05-01,25.5535
2014-06-01,25.6043
2014-07-01,25.7000
2014-08-01,25.6348
2014-09-01,25.3651
2014-10-01,25.1311
2014-11-01,25.2452
2014-12-01,25.7633
2015-01-01,26.4060
2015-02-01,26.8243
2015-03-01,26.9190
2015-04-01,26.8753
2015-05-01,26.9068
2015-06-01,27.0193
2015-07-01,27.0454
2015-08-01,26.8755
2015-09-01,26.6107
2015-10-01,26.4843
2015-11-01,26.6602
2015-12-01,27.1088
2016-01-01,27.6467
2016-02-01,28.0698
2016-03-01,28.2723
2016-04-01,28.2904
2016-05-01,28.2523
2016-06-01,28.2601
2016-07-01,28.2910
2016-08-01,28.2288
2016-09-01,28.0257
2016-10-01,27.8298
2016-11-01,27.9018
2016-12-01,28.3579
2017-01-01,29.0081
2017-02-01,29.4992
2017-03-01,29.6403
2017-04-01,29.5635
2017-05-01,29.5419
2017-06-01,29.6709
2017-07-01,29.7789
2017-08-01,29.6643
2017-09-01,29.3753
2017-10-01,29.2049
2017-11-01,29.4063
2017-12-01,29.9457
2018-01-01,30.5479
2018-02-01,30.9559
2018-03-01,31.1234
2018-04-01,31.1759
2018-05-01,31.2377
2018-06-01,31.3188
2018-07-01,31.3436
2018-08-01,31.2554
2018-09-01,31.0958
2018-10-01,31.0088
2018-11-01,31.1621
2018-12-01,31.6185
2019-01-01,32.2471
2019-02-01,32.7844
2019-03-01,33.0352
2019-04-01,33.0398
2019-05-01,33.0184
2019-06-01,33.1259
2019-07-01,33.2801
2019-08-01,33.2752
2019-09-01,33.0676
2019-10-01,32.8975
2019-11-01,33.0773
2019-12-01,33.6629
2020-01-01,34.3749
2020-02-01,34.8643
2020-03-01,35.0319
2020-04-01,35.0629
2020-05-01,35.1709
2020-06-01,35.3617
2020-07-01,35.4679
2020-08-01,35.3799
2020-09-01,35.1988
2020-10-01,35.1579
2020-11-01,35.4211
2020-12-01,35.9588
2021-01-01,36.5876
2021-02-01,37.1034
2021-03-01,37.4004
2021-04-01,37.5148
2021-05-01,37.5748
2021-06-01,37.6825
2021-07-01,37.8151
2021-08-01,37.8564
2021-09-01,37.7586
2021-10-01,37.6698
2021-11-01,37.8498
2021-12-01,38.4139
2022-01-01,39.1721
2022-02-01,39.7712
2022-03-01,40.0203
2022-04-01,40.0515
2022-05-01,40.1379
2022-06-01,40.3749
2022-07-01,40.5909
2022-08-01,40.5843
2022-09-01,40.4033
2022-10-01,40.3409
2022-11-01,40.6503
2022-12-01,41.2977
2023-01-01,42.0079
2023-02-01,42.5239
2023-03-01,42.7994
2023-04-01,42.9599
2023-05-01,43.1297
2023-06-01,43.3188
2023-07-01,43.4516
2023-08-01,43.4714
2023-09-01,43.4198
2023-10-01,43.4408
2023-11-01,43.7021
2023-12-01,44.2665
2024-01-01,45.0031
2024-02-01,45.6484
2024-03-01,46.0072
2024-04-01,46.1198
2024-05-01,46.2064
2024-06-01,46.4219
2024-07-01,46.6841
2024-08-01,46.7872
2024-09-01,46.6876
2024-10-01,46.6255
2024-11-01,46.9133
2024-12-01,47.6069
