date,value
2010-01-01,0.0781
2010-02-01,0.6325
2010-03-01,0.9400
2010-04-01,1.1412
2010-05-01,1.0297
2010-06-01,0.7124
2010-07-01,0.7275
2010-08-01,0.4474
2010-09-01,0.4238
2010-10-01,-0.1389
2010-11-01,-0.4415
2010-12-01,-0.9213
2011-01-01,-1.2357
2011-02-01,-1.3286
2011-03-01,-1.1968
2011-04-01,-0.3099
2011-05-01,0.4664
2011-06-01,0.5806
2011-07-01,0.6594
2011-08-01,0.8585
2011-09-01,0.8204
2011-10-01,0.8575
2011-11-01,1.2376
2011-12-01,1.0024
2012-01-01,0.4430
2012-02-01,-0.2434
2012-03-01,-1.2172
2012-04-01,-1.6953
2012-05-01,-1.3508
2012-06-01,-0.8726
2012-07-01,-0.6684
2012-08-01,-0.4014
2012-09-01,-0.2732
2012-10-01,-0.1434
2012-11-01,0.4592
2012-12-01,1.0694
2013-01-01,1.4605
2013-02-01,1.6305
2013-03-01,1.4138
2013-04-01,0.5167
2013-05-01,-0.1821
2013-06-01,-0.5859
2013-07-01,-1.0292
2013-08-01,-0.8946
2013-09-01,-0.8295
2013-10-01,-1.0237
2013-11-01,-1.0217
2013-12-01,-0.9845
2014-01-01,-0.5844
2014-02-01,-0.0004
2014-03-01,0.6999
2014-04-01,1.4043
2014-05-01,1.4013
2014-06-01,1.3081
2014-07-01,0.9500
2014-08-01,0.4954
2014-09-01,0.2072
2014-10-01,-0.2852
2014-11-01,-0.7393
2014-12-01,-0.9370
2015-01-01,-1.1796
2015-02-01,-1.5841
2015-03-01,-1.5834
2015-04-01,-0.6180
2015-05-01,0.1215
2015-06-01,0.8698
2015-07-01,1.1626
2015-08-01,1.1942
2015-09-01,0.9341
2015-10-01,0.7756
2015-11-01,0.5824
2015-12-01,0.4967
2016-01-01,0.2792
2016-02-01,-0.3191
2016-03-01,-0.7595
2016-04-01,-1.2275
2016-05-01,-1.5829
2016-06-01,-1.3751
2016-07-01,-0.9933
2016-08-01,-0.2379
2016-09-01,0.1790
2016-10-01,0.1639
2016-11-01,0.2575
2016-12-01,0.7265
2017-01-01,0.9540
2017-02-01,1.1811
2017-03-01,1.2564
2017-04-01,1.0206
2017-05-01,0.0986
2017-06-01,-0.7079
2017-07-01,-1.1798
2017-08-01,-1.4485
2017-09-01,-1.0680
2017-10-01,-0.7622
2017-11-01,-0.4272
2017-12-01,-0.2707
2018-01-01,-0.3996
2018-02-01,-0.0185
2018-03-01,0.7501
2018-04-01,1.4471
2018-05-01,1.4665
2018-06-01,1.4581
2018-07-01,1.0978
2018-08-01,0.2478
2018-09-01,-0.1241
2018-10-01,-0.3361
2018-11-01,-0.7425
2018-12-01,-0.9527
2019-01-01,-1.2148
2019-02-01,-1.5159
2019-03-01,-1.2104
2019-04-01,-0.7936
2019-05-01,-0.3445
2019-06-01,0.3170
2019-07-01,0.9571
2019-08-01,1.1610
2019-09-01,1.0515
2019-10-01,0.9430
2019-11-01,0.4691
2019-12-01,0.4308
2020-01-01,0.2462
2020-02-01,0.0021
2020-03-01,-0.4323
2020-04-01,-0.8751
2020-05-01,-1.6242
2020-06-01,-1.5632
2020-07-01,-0.8662
2020-08-01,-0.3184
2020-09-01,0.1424
2020-10-01,0.6515
2020-11-01,0.5849
2020-12-01,0.5689
2021-01-01,0.7796
2021-02-01,1.2246
2021-03-01,1.2807
2021-04-01,0.9323
2021-05-01,0.3942
2021-06-01,-0.3801
2021-07-01,-1.0606
2021-08-01,-1.3222
2021-09-01,-1.2608
2021-10-01,-0.9561
2021-11-01,-0.6382
2021-12-01,-0.2596
2022-01-01,-0.0705
2022-02-01,0.1305
2022-03-01,0.6130
2022-04-01,1.2398
2022-05-01,1.4970
2022-06-01,1.7204
2022-07-01,1.3375
2022-08-01,0.6463
2022-09-01,-0.1916
2022-10-01,-0.8448
2022-11-01,-0.9060
2022-12-01,-0.8394
2023-01-01,-0.6221
2023-02-01,-0.7240
2023-03-01,-0.7740
2023-04-01,-0.9566
2023-05-01,-0.6186
2023-06-01,0.3585
2023-07-01,1.0693
2023-08-01,1.6356
2023-09-01,1.7168
2023-10-01,1.4275
2023-11-01,0.6003
2023-12-01,0.1056
2024-01-01,-0.0588
2024-02-01,-0.0307
2024-03-01,-0.4551
2024-04-01,-1.0459
2024-05-01,-1.4780
2024-06-01,-1.5425
2024-07-01,-1.1573
2024-08-01,-0.4374
2024-09-01,0.0624
2024-10-01,0.7429
2024-11-01,1.2073
2024-12-01,1.1586
