date,value
2012-01-01,19.9208
2012-02-01,20.0849
2012-03-01,20.2988
2012-04-01,20.9261
2012-05-01,20.6498
2012-06-01,20.0765
2012-07-01,21.2628
2012-08-01,21.1130
2012-09-01,21.3207
2012-10-01,21.6837
2012-11-01,21.9278
2012-12-01,22.6200
2013-01-01,22.5212
2013-02-01,22.4008
2013-03-01,22.1139
2013-04-01,22.1419
2013-05-01,23.0155
2013-06-01,23.7811
2013-07-01,23.2629
2013-08-01,23.3615
2013-09-01,23.8925
2013-10-01,22.9806
2013-11-01,23.7882
2013-12-01,24.4097
2014-01-01,24.8004
2014-02-01,24.3677
2014-03-01,24.8871
2014-04-01,24.9965
2014-05-01,25.4703
2014-06-01,24.6077
2014-07-01,25.7125
2014-08-01,24.7470
2014-09-01,24.3190
2014-10-01,25.6062
2014-11-01,25.6163
2014-12-01,26.7818
2015-01-01,26.8453
2015-02-01,25.9895
2015-03-01,27.3060
2015-04-01,26.4688
2015-05-01,27.1526
2015-06-01,27.2184
2015-07-01,27.6229
2015-08-01,28.1902
2015-09-01,28.2711
2015-10-01,28.2924
2015-11-01,28.6375
2015-12-01,28.7232
2016-01-01,28.2952
2016-02-01,28.4254
2016-03-01,28.7415
2016-04-01,29.4546
2016-05-01,29.2224
2016-06-01,30.8247
2016-07-01,29.2694
2016-08-01,29.2956
2016-09-01,30.5027
2016-10-01,31.0420
2016-11-01,30.7181
2016-12-01,31.0797
2017-01-01,31.5845
2017-02-01,30.9283
2017-03-01,30.3774
2017-04-01,31.0474
2017-05-01,32.0441
2017-06-01,30.9060
2017-07-01,31.8984
2017-08-01,32.1993
2017-09-01,32.0664
2017-10-01,32.8180
2017-11-01,32.9194
2017-12-01,34.0568
2018-01-01,33.3010
2018-02-01,32.8048
2018-03-01,33.0110
2018-04-01,33.0426
2018-05-01,34.2038
2018-06-01,33.5482
2018-07-01,34.0014
2018-08-01,34.6321
2018-09-01,34.0021
2018-10-01,34.4185
2018-11-01,33.7473
2018-12-01,34.3446
2019-01-01,34.8077
2019-02-01,35.5287
2019-03-01,36.1364
2019-04-01,35.6498
2019-05-01,35.9838
2019-06-01,36.1124
2019-07-01,36.7966
2019-08-01,36.8713
2019-09-01,36.7105
2019-10-01,36.1840
2019-11-01,37.4169
2019-12-01,37.3096
2020-01-01,37.9548
2020-02-01,37.4436
2020-03-01,38.7142
2020-04-01,37.6226
2020-05-01,38.8762
2020-06-01,38.2433
2020-07-01,38.0761
2020-08-01,37.9194
2020-09-01,38.6369
2020-10-01,39.6828
2020-11-01,39.5290
2020-12-01,39.6389
2021-01-01,38.1333
2021-02-01,40.0110
2021-03-01,40.1057
2021-04-01,39.6775
2021-05-01,39.8149
2021-06-01,40.3387
2021-07-01,41.4687
2021-08-01,40.1197
2021-09-01,40.6447
2021-10-01,41.8090
2021-11-01,40.9946
2021-12-01,41.2197
2022-01-01,41.6538
2022-02-01,41.0973
2022-03-01,42.0810
2022-04-01,41.4747
2022-05-01,42.8069
2022-06-01,42.5017
2022-07-01,43.9359
2022-08-01,43.0145
2022-09-01,43.7911
2022-10-01,42.5032
2022-11-01,43.3328
2022-12-01,43.7577
2023-01-01,44.7201
2023-02-01,43.0155
2023-03-01,44.6648
2023-04-01,44.6252
2023-05-01,45.3235
2023-06-01,45.0518
2023-07-01,44.8686
2023-08-01,44.7331
2023-09-01,44.5135
2023-10-01,45.4875
2023-11-01,45.4546
2023-12-01,46.8511
2024-01-01,45.5839
2024-02-01,46.2762
2024-03-01,45.4170
2024-04-01,46.2425
2024-05-01,46.7836
2024-06-01,47.2732
2024-07-01,47.7965
2024-08-01,47.1557
2024-09-01,46.7455
2024-10-01,47.7918
2024-11-01,48.0043
2024-12-01,48.1704
