date,value
2010-01-01,29.9345
2010-02-01,31.7867
2010-03-01,32.8923
2010-04-01,33.1066
2010-05-01,31.6850
2010-06-01,30.8352
2010-07-01,30.5718
2010-08-01,30.1653
2010-09-01,29.0383
2010-10-01,27.9298
2010-11-01,27.8168
2010-12-01,28.9663
2011-01-01,30.8337
2011-02-01,32.9045
2011-03-01,33.8149
2011-04-01,33.6733
2011-05-01,32.9295
2011-06-01,31.7626
2011-07-01,31.3452
2011-08-01,30.9767
2011-09-01,30.2702
2011-10-01,29.2408
2011-11-01,29.0054
2011-12-01,29.9315
2012-01-01,31.9617
2012-02-01,33.8622
2012-03-01,34.7274
2012-04-01,34.4857
2012-05-01,34.0557
2012-06-01,33.0502
2012-07-01,32.6025
2012-08-01,31.7641
2012-09-01,31.1380
2012-10-01,30.3303
2012-11-01,29.6334
2012-12-01,31.0502
2013-01-01,32.6983
2013-02-01,35.2026
2013-03-01,36.1399
2013-04-01,35.7955
2013-05-01,34.5184
2013-06-01,33.7039
2013-07-01,33.2146
2013-08-01,32.7661
2013-09-01,31.9495
2013-10-01,30.9051
2013-11-01,30.8421
2013-12-01,31.5463
2014-01-01,33.8406
2014-02-01,35.6246
2014-03-01,37.0875
2014-04-01,36.6096
2014-05-01,35.8914
2014-06-01,34.8800
2014-07-01,34.0339
2014-08-01,33.7071
2014-09-01,33.1234
2014-10-01,31.6768
2014-11-01,31.6355
2014-12-01,32.8863
2015-01-01,34.9398
2015-02-01,36.7153
2015-03-01,37.6549
2015-04-01,37.6166
2015-05-01,36.5116
2015-06-01,35.7155
2015-07-01,35.1996
2015-08-01,34.7039
2015-09-01,33.7393
2015-10-01,32.6950
2015-11-01,32.3821
2015-12-01,33.6049
2016-01-01,35.6518
2016-02-01,37.7140
2016-03-01,39.0155
2016-04-01,38.7801
2016-05-01,37.7251
2016-06-01,36.7247
2016-07-01,36.4992
2016-08-01,35.4997
2016-09-01,34.8105
2016-10-01,33.9822
2016-11-01,33.6319
2016-12-01,34.4892
2017-01-01,36.5551
2017-02-01,38.8231
2017-03-01,39.8808
2017-04-01,39.2973
2017-05-01,38.6459
2017-06-01,38.0235
2017-07-01,37.3964
2017-08-01,36.5597
2017-09-01,35.6400
2017-10-01,35.0868
2017-11-01,34.7390
2017-12-01,35.5788
2018-01-01,37.5352
2018-02-01,39.5360
2018-03-01,41.0071
2018-04-01,40.5333
2018-05-01,39.4170
2018-06-01,38.9364
2018-07-01,38.3910
2018-08-01,37.6827
2018-09-01,36.5916
2018-10-01,35.8820
2018-11-01,35.4656
2018-12-01,36.7839
2019-01-01,38.3796
2019-02-01,40.6021
2019-03-01,41.4481
2019-04-01,41.4890
2019-05-01,40.8103
2019-06-01,39.6672
2019-07-01,39.2710
2019-08-01,38.4194
2019-09-01,37.4714
2019-10-01,36.6672
2019-11-01,36.3594
2019-12-01,37.6245
2020-01-01,39.5036
2020-02-01,41.4331
2020-03-01,42.9887
2020-04-01,42.4824
2020-05-01,41.1859
2020-06-01,40.7549
2020-07-01,39.7939
2020-08-01,39.4151
2020-09-01,38.9120
2020-10-01,37.9566
2020-11-01,37.6311
2020-12-01,38.2762
2021-01-01,40.7458
2021-02-01,42.7395
2021-03-01,43.8034
2021-04-01,43.1162
2021-05-01,42.3275
2021-06-01,41.3362
2021-07-01,41.2730
2021-08-01,40.4410
2021-09-01,39.5995
2021-10-01,38.9165
2021-11-01,38.6527
2021-12-01,39.3970
2022-01-01,41.4765
2022-02-01,43.6809
2022-03-01,44.7008
2022-04-01,44.3668
2022-05-01,43.6942
2022-06-01,42.7674
2022-07-01,41.8042
2022-08-01,41.3717
2022-09-01,40.3016
2022-10-01,39.4284
2022-11-01,39.6168
2022-12-01,40.1148
2023-01-01,42.7162
2023-02-01,44.8080
2023-03-01,45.4544
2023-04-01,45.4870
2023-05-01,44.5507
2023-06-01,43.2327
2023-07-01,43.2161
2023-08-01,42.5105
2023-09-01,41.7133
2023-10-01,40.6950
2023-11-01,40.4294
2023-12-01,41.1079
2024-01-01,43.6041
2024-02-01,45.5397
2024-03-01,46.5134
2024-04-01,46.1024
2024-05-01,45.2822
2024-06-01,44.3533
2024-07-01,43.9922
2024-08-01,43.6127
2024-09-01,42.8153
2024-10-01,41.4085
2024-11-01,41.2222
2024-12-01,42.6167
