time_step,sensor_value
0,44.950
1,45.361
2,45.794
3,46.471
4,46.545
5,46.394
6,47.319
7,47.344
8,47.542
9,47.780
10,47.881
11,48.206
12,47.967
13,47.656
14,47.184
15,46.863
16,47.036
17,47.104
18,46.327
19,45.924
20,45.786
21,44.730
22,44.778
23,44.727
24,44.556
25,43.898
26,43.889
27,43.669
28,43.736
29,43.011
30,43.599
31,42.931
32,42.665
33,43.550
34,43.677
35,44.589
36,44.843
37,44.548
38,45.664
39,45.428
40,46.170
41,46.518
42,47.073
43,47.711
44,48.013
45,48.240
46,48.630
47,48.805
48,48.598
49,48.688
50,48.836
51,49.174
52,48.850
53,49.635
54,48.356
55,48.033
56,48.418
57,48.343
58,47.690
59,47.454
60,47.299
61,46.406
62,45.589
63,45.569
64,45.784
65,44.677
66,44.969
67,44.871
68,44.552
69,44.854
70,44.803
71,45.473
72,44.999
73,44.749
74,45.001
75,45.191
76,46.144
77,45.977
78,46.543
79,47.241
80,47.147
81,47.718
82,47.588
83,48.246
84,48.791
85,49.463
86,50.020
87,49.831
88,50.109
89,50.198
90,50.580
91,50.512
92,50.233
93,49.664
94,50.159
95,49.751
96,49.779
97,49.035
98,49.396
99,48.235
100,48.558
101,47.679
102,47.107
103,46.560
104,46.598
105,46.880
106,46.443
107,46.224
108,45.031
109,46.050
110,45.995
111,45.668
112,45.763
113,46.162
114,47.001
115,46.313
116,46.861
117,47.852
118,47.611
119,48.051
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,48.763
141,48.907
142,48.420
143,48.862
144,47.637
145,47.694
146,46.808
147,47.044
148,47.154
149,47.289
150,47.507
151,47.045
152,46.791
153,47.523
154,47.778
155,48.054
156,47.965
157,48.972
158,48.998
159,49.624
160,50.246
161,50.434
162,50.733
163,51.778
164,51.475
165,51.614
166,52.042
167,52.756
168,52.459
169,52.721
170,53.019
171,52.420
172,51.933
173,52.522
174,52.323
175,51.805
176,52.054
177,51.658
178,50.764
179,50.942
180,50.331
181,49.520
182,49.846
183,49.339
184,48.790
185,48.965
186,48.728
187,48.180
188,48.402
189,48.556
190,47.951
191,48.394
192,48.383
193,49.356
194,48.146
195,49.326
196,49.303
197,49.740
198,50.833
199,50.576
200,51.784
201,51.266
202,51.955
203,52.053
204,52.348
205,52.940
206,53.104
207,53.508
208,52.881
209,54.440
210,53.742
211,54.409
212,53.385
213,53.720
214,54.550
215,52.913
216,52.426
217,52.454
218,52.478
219,52.204
220,52.052
221,51.149
222,50.327
223,50.403
224,50.685
225,50.145
226,49.073
227,49.570
228,49.952
229,50.145
230,49.597
231,49.569
232,49.148
233,49.467
234,50.014
235,50.458
236,50.814
237,50.808
238,50.964
239,51.507
