date,value
2012-01-01,125.753
2012-02-01,134.57
2012-03-01,136.894
2012-04-01,133.648
2012-05-01,128.724
2012-06-01,124.557
2012-07-01,120.428
2012-08-01,115.078
2012-09-01,109.874
2012-10-01,108.395
2012-11-01,112.925
2012-12-01,122.026
2013-01-01,131.73
2013-02-01,138.6
2013-03-01,141.368
2013-04-01,140.344
2013-05-01,136.348
2013-06-01,130.534
2013-07-01,124.458
2013-08-01,119.552
2013-09-01,116.569
2013-10-01,116.019
2013-11-01,118.902
2013-12-01,126.056
2014-01-01,136.204
2014-02-01,145.295
2014-03-01,148.992
2014-04-01,146.321
2014-05-01,140.378
2014-06-01,135.008
2014-07-01,131.153
2014-08-01,127.176
2014-09-01,122.546
2014-10-01,120.048
2014-11-01,123.376
2014-12-01,132.751
2015-01-01,143.828
2015-02-01,151.272
2015-03-01,153.022
2015-04-01,150.795
2015-05-01,147.074
2015-06-01,142.632
2015-07-01,137.13
2015-08-01,131.205
2015-09-01,127.02
2015-10-01,126.744
2015-11-01,131.0
2015-12-01,138.728
2016-01-01,147.858
2016-02-01,155.746
2016-03-01,159.718
2016-04-01,158.419
2016-05-01,153.05
2016-06-01,146.661
2016-07-01,141.604
2016-08-01,137.901
2016-09-01,134.644
2016-10-01,132.721
2016-11-01,135.029
2016-12-01,143.202
2017-01-01,154.553
2017-02-01,163.37
2017-03-01,165.694
2017-04-01,162.448
2017-05-01,157.524
2017-06-01,153.357
2017-07-01,149.228
2017-08-01,143.878
2017-09-01,138.674
2017-10-01,137.195
2017-11-01,141.725
2017-12-01,150.826
2018-01-01,160.53
2018-02-01,167.4
2018-03-01,170.168
2018-04-01,169.144
2018-05-01,165.148
2018-06-01,159.334
2018-07-01,153.258
2018-08-01,148.352
2018-09-01,145.369
2018-10-01,144.819
2018-11-01,147.702
2018-12-01,154.856
2019-01-01,165.004
2019-02-01,174.095
2019-03-01,177.792
2019-04-01,175.121
2019-05-01,169.178
2019-06-01,163.808
2019-07-01,159.953
2019-08-01,155.976
2019-09-01,151.346
2019-10-01,148.848
2019-11-01,152.176
2019-12-01,161.551
2020-01-01,177.128
2020-02-01,184.572
2020-03-01,186.322
2020-04-01,184.095
2020-05-01,180.374
2020-06-01,175.932
2020-07-01,170.43
2020-08-01,164.505
2020-09-01,160.32
2020-10-01,160.044
2020-11-01,164.3
2020-12-01,172.028
2021-01-01,181.158
2021-02-01,189.046
2021-03-01,193.018
2021-04-01,191.719
2021-05-01,186.35
2021-06-01,179.961
2021-07-01,174.904
2021-08-01,171.201
2021-09-01,167.944
2021-10-01,166.021
2021-11-01,168.329
2021-12-01,176.502
2022-01-01,187.853
2022-02-01,196.67
2022-03-01,198.994
2022-04-01,195.748
2022-05-01,190.824
2022-06-01,186.657
2022-07-01,182.528
2022-08-01,177.178
2022-09-01,171.974
2022-10-01,170.495
2022-11-01,175.025
2022-12-01,184.126
2023-01-01,193.83
2023-02-01,200.7
2023-03-01,203.468
2023-04-01,202.444
2023-05-01,198.448
2023-06-01,192.634
2023-07-01,186.558
2023-08-01,181.652
2023-09-01,178.669
2023-10-01,178.119
2023-11-01,181.002
2023-12-01,188.156
2024-01-01,198.304
2024-02-01,207.395
2024-03-01,211.092
2024-04-01,208.421
2024-05-01,202.478
2024-06-01,197.108
2024-07-01,193.253
2024-08-01,189.276
2024-09-01,184.646
2024-10-01,182.148
2024-11-01,185.476
2024-12-01,194.851
